method,model,popt,vmin,fcalls
Nelder-Mead,e1,"[0.5696512641868539, 2.685590310193338, 2.50183061099876]",0.026311029601170977,111
Nelder-Mead,g1e1,"[0.19820196201685636, 3.6265106577985358, 0.31858615128204204, 2.3552105189640757, 2.506189204126575]",0.015406088281801119,278
LBFGS bounded,e1,"[0.5696286166644811, 2.6856537311685624, 2.501837423203153]",0.02631102549120563,204
LBFGS bounded,g1e1,"[0.19816973077237401, 3.6267250861350746, 0.31861956789317825, 2.355596662680531, 2.5061961858383404]",0.015406079944285205,540
Radial Basis DYCORS(),e1,"[0.5694458933414626, 2.6752645397264057, 2.5014441386561317]",0.02631755488706489,120
Radial Basis DYCORS(),g1e1,"[0.2139523101260609, 3.8758135100972324, 0.3046875, 2.1251098989704658, 2.5026540815770546]",0.01574250125312369,150
Radial Basis SRBF(),e1,"[0.5696213325308761, 2.685656744141884, 2.501838859037005]",0.02631102581991997,117
Radial Basis SRBF(),g1e1,"[0.19585176687931477, 3.638613279697108, 0.3216977011142218, 2.3523362141799273, 2.505982268325185]",0.015408957918407983,526
Surrogate,e1,"[0.5697824396878759, 2.6854347217702106, 2.5017611935292954]",0.026311341101219767,86
Surrogate,g1e1,"[0.2831615251151204, 3.8302944411837583, 0.2212736896738905, 1.652516271498824, 2.4965989597017844]",0.016984895384843487,175
