method,model,popt,vmin,fcalls
Nelder-Mead,e1,"[0.5696512641868539, 2.685590310193338, 2.50183061099876]",0.026311029601170977,111
Nelder-Mead,g1e1,"[0.19820196201685636, 3.6265106577985358, 0.31858615128204204, 2.3552105189640757, 2.506189204126575]",0.015406088281801119,278
LBFGS bounded,e1,"[0.5696286166644811, 2.6856537311685624, 2.501837423203153]",0.02631102549120563,204
LBFGS bounded,g1e1,"[0.19816973213068398, 3.6267250906323905, 0.31861956622248694, 2.355596654422161, 2.506196185757244]",0.015406079944285257,540
Cubic Radial DYCORS(),e1,"[0.5696970714374889, 2.6871419813523922, 2.5018845938001433]",0.026311147921903994,220
Cubic Radial DYCORS(),g1e1,"[0.2062292392320228, 3.665458352743957, 0.30883311676498926, 2.297673721710927, 2.505589157326724]",0.015423212929190543,550
Cubic Radial SRBF(),e1,"[0.5696266893855064, 2.6856396029487577, 2.5018373018032487]",0.026311025512310647,134
Cubic Radial SRBF(),g1e1,"[0.19948968395281524, 3.637146423972218, 0.31700593840125124, 2.3421482426858127, 2.506045759371991]",0.015406782807176698,575
Kriging EI(),e1,"[0.57109375, 2.94921875, 2.5083984375000004]",0.03111239192193608,56
Kriging EI(),g1e1,"[0.26796875, 4.35546875, 0.3046875, 1.8196614583333333, 2.4936718750000004]",0.03981595374165755,128
Surfit scalar,e1,"[0.5690423164039289, 2.682953485256974, 2.501761828676834]",0.026313367185453095,86
Surfit scalar,g1e1,"[0.26325129776434797, 3.9228691324291596, 0.24562013922024475, 1.6773432851270673, 2.494497609842106]",0.016829727049603657,137
Surfit,e1,"[0.5696182078876514, 2.685509558780156, 2.5018329597125595]",0.02631102679691911,61
Surfit,g1e1,"[0.19809530367743353, 3.6267324316448653, 0.3187159821739343, 2.3552014119576197, 2.5061780654350136]",0.015406090459733464,115
